use_case,details,process_flow,text
Volume Commitment Reports,System shall generate volume commitment reports.,User accesses the Volume Commitment Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
Volume Commitment Reports
 details
System shall generate volume commitment reports.
### process flow
User accesses the Volume Commitment Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report."
Volume Commitment Verification Report,System shall generate volume commitment verification reports.,User accesses the Volume Commitment Verification Report section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
Volume Commitment Verification Report
 details
System shall generate volume commitment verification reports.
### process flow
User accesses the Volume Commitment Verification Report section.; User specifies the criteria for the report.; System retrieves data and generates the report."
International Invoice Report,System shall generate international invoice reports.,User accesses the International Invoice Report section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
International Invoice Report
 details
System shall generate international invoice reports.
### process flow
User accesses the International Invoice Report section.; User specifies the criteria for the report.; System retrieves data and generates the report."
International Revenue and Cost Reports,System shall generate international revenue and cost reports.,User accesses the International Revenue and Cost Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
International Revenue and Cost Reports
 details
System shall generate international revenue and cost reports.
### process flow
User accesses the International Revenue and Cost Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report."
International Voice Terminating Traffic Report,System shall generate reports for international voice terminating traffic.,User accesses the International Voice Terminating Traffic Report section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
International Voice Terminating Traffic Report
 details
System shall generate reports for international voice terminating traffic.
### process flow
User accesses the International Voice Terminating Traffic Report section.; User specifies the criteria for the report.; System retrieves data and generates the report."
International Data Revenue Summary Report,System shall generate data revenue summary reports.,User accesses the Data Revenue Summary Report section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
International Data Revenue Summary Report
 details
System shall generate data revenue summary reports.
### process flow
User accesses the Data Revenue Summary Report section.; User specifies the criteria for the report.; System retrieves data and generates the report."
International Data Revenue Detailed Summary Report,System shall generate detailed data revenue summary reports.,User accesses the Data Revenue Detailed Summary Report section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
International Data Revenue Detailed Summary Report
 details
System shall generate detailed data revenue summary reports.
### process flow
User accesses the Data Revenue Detailed Summary Report section.; User specifies the criteria for the report.; System retrieves data and generates the report."
International Data Cost Report,System shall generate data cost reports.,User accesses the Data Cost Report section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
International Data Cost Report
 details
System shall generate data cost reports.
### process flow
User accesses the Data Cost Report section.; User specifies the criteria for the report.; System retrieves data and generates the report."
Monthly International Revenue Voice & Cost Dashboard,System shall provide a dashboard for monthly international revenue and voice costs.,User accesses the dashboard.; System displays the relevant data on the dashboard.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
Monthly International Revenue Voice & Cost Dashboard
 details
System shall provide a dashboard for monthly international revenue and voice costs.
### process flow
User accesses the dashboard.; System displays the relevant data on the dashboard."
Monthly International Voice Terminating Traffic Dashboard,System shall provide a dashboard for monthly international voice terminating traffic.,User accesses the dashboard.; System displays the relevant data on the dashboard.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
Monthly International Voice Terminating Traffic Dashboard
 details
System shall provide a dashboard for monthly international voice terminating traffic.
### process flow
User accesses the dashboard.; System displays the relevant data on the dashboard."
Netting Off,System shall generate netting-off reports.,User accesses the Netting-Off Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
Netting Off
 details
System shall generate netting-off reports.
### process flow
User accesses the Netting-Off Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report."
Best Cost Route (BCR) Reporting,System shall generate Best Cost Route reports.,User accesses the BCR Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report.,"below is set of use cases that provides details of the use case and hence provides the process flow for the same### use case:
Best Cost Route (BCR) Reporting
 details
System shall generate Best Cost Route reports.
### process flow
User accesses the BCR Reports section.; User specifies the criteria for the report.; System retrieves data and generates the report."
